Molecule, Pseudoknot Order, Execution Time [ns]
CRW_23S_E_A_27_nH, 3, 61852332
CRW_23S_E_A_28_nH, 3, 46542700
CRW_23S_E_A_4_nH, 3, 46793600
CRW_23S_E_F_20_nH, 0, 4003689
CRW_23S_E_F_21_nH, 3, 34992884
CRW_23S_E_F_29_nH, 3, 49305394
CRW_23S_E_G_2_nH, 3, 47301007
CRW_23S_E_M_12_nH, 0, 4454698
CRW_23S_E_M_13_nH, 1, 12268664
CRW_23S_E_M_15_nH, 1, 13787603
CRW_23S_E_M_17_nH, 0, 5449810
CRW_23S_E_M_18_nH, 1, 13680322
CRW_23S_E_M_19_nH, 1, 12280913
CRW_23S_E_M_22_nH, 0, 7174201
CRW_23S_E_M_7_nH, 1, 13745901
CRW_23S_E_V_1_nH, 3, 47016140
CRW_23S_E_V_23_nH, 3, 44616952
CRW_23S_E_V_24_nH, 0, 4201709
CRW_23S_E_V_26_nH, 0, 4377317
CRW_23S_E_V_5_nH, 3, 56721643
CRW_23S_E_V_6_nH, 3, 54163786
