Molecule, Pseudoknot Order, Execution Time [ns]
CRW_5S_E_A_14_nH, 0, 3335985
CRW_5S_E_A_30_nH, 0, 3507973
CRW_5S_E_A_31_nH, 0, 3549003
CRW_5S_E_A_68_nH, 0, 3203319
CRW_5S_E_A_91_nH, 0, 3317644
CRW_5S_E_E_28_nH, 0, 3274621
CRW_5S_E_E_29_nH, 0, 3807419
CRW_5S_E_E_94_nH, 0, 3695239
CRW_5S_E_E_95_nH, 0, 3870442
CRW_5S_E_F_50_nH, 0, 3369382
CRW_5S_E_F_52_nH, 0, 3997266
CRW_5S_E_F_7_nH, 0, 3353122
CRW_5S_E_F_82_nH, 0, 4783820
CRW_5S_E_F_86_nH, 0, 3348080
CRW_5S_E_M_11_nH, 0, 3641904
CRW_5S_E_M_12_nH, 0, 3391705
CRW_5S_E_M_15_nH, 0, 4240706
CRW_5S_E_M_16_nH, 0, 3264004
CRW_5S_E_M_17_nH, 0, 3889440
CRW_5S_E_M_18_nH, 0, 3496176
CRW_5S_E_M_19_nH, 0, 4219269
CRW_5S_E_M_20_nH, 0, 3511451
CRW_5S_E_M_22_nH, 0, 3867374
CRW_5S_E_M_23_nH, 0, 3862444
CRW_5S_E_M_24_nH, 0, 3341392
CRW_5S_E_M_25_nH, 0, 4034958
CRW_5S_E_M_26_nH, 0, 3527586
CRW_5S_E_M_2_nH, 0, 3310621
CRW_5S_E_M_38_nH, 0, 3277242
CRW_5S_E_M_39_nH, 0, 3806514
CRW_5S_E_M_3_nH, 0, 3489330
CRW_5S_E_M_40_nH, 0, 3340567
CRW_5S_E_M_41_nH, 0, 5823671
CRW_5S_E_M_42_nH, 0, 3974734
CRW_5S_E_M_43_nH, 0, 3425056
CRW_5S_E_M_44_nH, 0, 3833872
CRW_5S_E_M_45_nH, 0, 3272360
CRW_5S_E_M_46_nH, 0, 3718202
CRW_5S_E_M_48_nH, 0, 4087084
CRW_5S_E_M_57_nH, 0, 4564655
CRW_5S_E_M_59_nH, 0, 4251531
CRW_5S_E_M_5_nH, 0, 3578157
CRW_5S_E_M_60_nH, 0, 3318519
CRW_5S_E_M_61_nH, 0, 3278132
CRW_5S_E_M_62_nH, 0, 3664514
CRW_5S_E_M_65_nH, 0, 3562191
CRW_5S_E_M_6_nH, 0, 4111173
CRW_5S_E_M_72_nH, 0, 3845752
CRW_5S_E_M_75_nH, 0, 4069574
CRW_5S_E_M_76_nH, 0, 3944836
CRW_5S_E_M_77_nH, 0, 3361723
CRW_5S_E_M_79_nH, 0, 3372112
CRW_5S_E_M_80_nH, 0, 3521792
CRW_5S_E_M_81_nH, 0, 3560259
CRW_5S_E_M_83_nH, 0, 3710277
CRW_5S_E_M_88_nH, 0, 3288098
CRW_5S_E_M_89_nH, 0, 3672641
CRW_5S_E_M_8_nH, 0, 6756083
CRW_5S_E_M_96_nH, 0, 5190056
CRW_5S_E_M_9_nH, 0, 3292019
CRW_5S_E_S_85_nH, 0, 3258158
CRW_5S_E_V_10_nH, 0, 3359816
CRW_5S_E_V_13_nH, 0, 3244260
CRW_5S_E_V_21_nH, 0, 3907069
CRW_5S_E_V_33_nH, 0, 3320806
CRW_5S_E_V_35_nH, 0, 3347384
CRW_5S_E_V_36_nH, 0, 4043741
CRW_5S_E_V_37_nH, 0, 3484449
CRW_5S_E_V_51_nH, 0, 3242850
CRW_5S_E_V_55_nH, 0, 3391220
CRW_5S_E_V_56_nH, 0, 3855705
CRW_5S_E_V_58_nH, 0, 3234258
CRW_5S_E_V_66_nH, 0, 3469077
CRW_5S_E_V_67_nH, 0, 5373175
CRW_5S_E_V_74_nH, 0, 3310144
CRW_5S_E_V_92_nH, 0, 3328359
CRW_5S_E_V_93_nH, 0, 3963681
